etag,id.kind,id.videoId,kind,snippet.channelId,snippet.channelTitle,snippet.description,snippet.liveBroadcastContent,snippet.publishTime,snippet.publishedAt,snippet.thumbnails.default.height,snippet.thumbnails.default.url,snippet.thumbnails.default.width,snippet.thumbnails.high.height,snippet.thumbnails.high.url,snippet.thumbnails.high.width,snippet.thumbnails.medium.height,snippet.thumbnails.medium.url,snippet.thumbnails.medium.width,snippet.title,primary_key
ydjQUysXLfk0317Y0sJyEiBjVAw,youtube#video,utXtO1qx8fI,youtube#searchResult,UCGPyrDv1deRfeErX0v4MdhQ,BANDIT,taylorswift #joealwyn #celebtarot #AskBANDIT.,none,2022-11-01T14:53:01Z,2022-11-01T14:53:01Z,90,https://i.ytimg.com/vi/utXtO1qx8fI/default.jpg,120,360,https://i.ytimg.com/vi/utXtO1qx8fI/hqdefault.jpg,480,180,https://i.ytimg.com/vi/utXtO1qx8fI/mqdefault.jpg,320,Taylor Swift &amp; Joe Alwyn LOVE Tarot READING | ASK BANDIT,taylor swift
kLK6DBzX3lbJCL0cVjNvzaWvWMQ,youtube#video,jsGc2j0-pbk,youtube#searchResult,UCyxVBJHOGSHPXuL23a6AQnQ, Country Music Hits,"Brett Young, Kane Brown, Luke Combs, Luke Bryan, Taylor Swift - Top 100 Country Songs of 2022 ...",none,2022-11-01T05:10:19Z,2022-11-01T05:10:19Z,90,https://i.ytimg.com/vi/jsGc2j0-pbk/default.jpg,120,360,https://i.ytimg.com/vi/jsGc2j0-pbk/hqdefault.jpg,480,180,https://i.ytimg.com/vi/jsGc2j0-pbk/mqdefault.jpg,320,"Brett Young, Kane Brown, Luke Combs, Luke Bryan, Taylor Swift - Top 100 Country Songs of 2022",taylor swift
sJhk7icK0i-U-M2F_3ZMs_NXNWo,youtube#video,Qk4RPGLopZA,youtube#searchResult,UCAtWTrabf8XgCemTlWYPLSw,Digginem,https://youtu.be/PyOygxbYoho #digginem #crafting #cricut #newmusic #jonscomics #sailormoon #youtubelive #taylorswift ...,none,2022-11-01T00:23:22Z,2022-11-01T00:23:22Z,90,https://i.ytimg.com/vi/Qk4RPGLopZA/default.jpg,120,360,https://i.ytimg.com/vi/Qk4RPGLopZA/hqdefault.jpg,480,180,https://i.ytimg.com/vi/Qk4RPGLopZA/mqdefault.jpg,320,#digginem #crafting #cricut #newmusic #jonscomics #sailormoon #youtubelive #taylorswift #volleyball,taylor swift
GCGYC8vt5P0PfUMPG6Kx62tQ-o4,youtube#video,39lvDor9-eM,youtube#searchResult,UC6Br-19-oEPdHUvV4WKCMKg,Gabriel Mahalem,TaylorSwift #SelenaGomez #MichaelJackson #Beyoncé #Bejeweled #Midnights #AntiHero #LavanderHaze #Maroon #AntiHero ...,none,2022-10-31T22:17:10Z,2022-10-31T22:17:10Z,90,https://i.ytimg.com/vi/39lvDor9-eM/default.jpg,120,360,https://i.ytimg.com/vi/39lvDor9-eM/hqdefault.jpg,480,180,https://i.ytimg.com/vi/39lvDor9-eM/mqdefault.jpg,320,"O TOP 10 DA BILLBOARD É SÓ DA TAYLOR SWIFT, NOVIDADES DO DOC DA SELENA GOMEZ E BEYONCÉ REI DO POP!",taylor swift
2QPdF1e_3DTcaVNviIyssTeqzuc,youtube#video,wN4sVTABlpQ,youtube#searchResult,UColBLS21y3-TIDVGpFzE3xA,Music Library,"Billboard top 100 This Week Adele, Maroon 5, Bilie Eilish, Taylor Swift, Sam Smith, Rihanna ▽ Follow Channel: ©Music Library ...",none,2022-10-31T16:17:57Z,2022-10-31T16:17:57Z,90,https://i.ytimg.com/vi/wN4sVTABlpQ/default.jpg,120,360,https://i.ytimg.com/vi/wN4sVTABlpQ/hqdefault.jpg,480,180,https://i.ytimg.com/vi/wN4sVTABlpQ/mqdefault.jpg,320,"Billboard top 100 This Week 🎵 Adele,  Maroon 5, Bilie Eilish, Taylor Swift, Rihanna, Sam Smith",taylor swift
zeD6vZmU80UBE1Rf9lV_PQi7KEU,youtube#video,9W5qhF7r6M0,youtube#searchResult,UColBLS21y3-TIDVGpFzE3xA,Music Library,"Billboard top 100 This Week Adele, Maroon 5, Bilie Eilish, Taylor Swift, Sam Smith, Rihanna ▽ Follow Channel: ©Music Library ...",none,2022-10-29T16:42:37Z,2022-10-29T16:42:37Z,90,https://i.ytimg.com/vi/9W5qhF7r6M0/default.jpg,120,360,https://i.ytimg.com/vi/9W5qhF7r6M0/hqdefault.jpg,480,180,https://i.ytimg.com/vi/9W5qhF7r6M0/mqdefault.jpg,320,"Billboard top 100 This Week 🎵 Adele,  Maroon 5, Bilie Eilish, Taylor Swift, Rihanna, Sam Smith",taylor swift
TKcwZQVs9U7brWuVJ9njD8LB7j8,youtube#video,Jz2NmhCpZZs,youtube#searchResult,UCa_HeCu4vl8gRfeaSvbmeUQ,Gypsievan Official ,Out Now 'Lover' https://TaylorSwift.lnk.to/Loversu ▻Exclusive Merch: https://store.taylorswift.com ▻Follow Taylor Swift Online ...,none,2022-10-29T15:50:34Z,2022-10-29T15:50:34Z,90,https://i.ytimg.com/vi/Jz2NmhCpZZs/default.jpg,120,360,https://i.ytimg.com/vi/Jz2NmhCpZZs/hqdefault.jpg,480,180,https://i.ytimg.com/vi/Jz2NmhCpZZs/mqdefault.jpg,320,Taylor Swift- Lover Live from &quot;Saturday Night Live Show&quot;,taylor swift
Up6tuXZnQ6Uof7sPP__1vvapz-A,youtube#video,vtr5fQ_iQno,youtube#searchResult,UCyCOLwr7V3gOfF3qWSazcRg,iamty,follow my twitch so you can watch all the reactions that i can't react to on yt because of copyright reasons. there's plenty more ...,none,2022-10-29T01:40:55Z,2022-10-29T01:40:55Z,90,https://i.ytimg.com/vi/vtr5fQ_iQno/default.jpg,120,360,https://i.ytimg.com/vi/vtr5fQ_iQno/hqdefault.jpg,480,180,https://i.ytimg.com/vi/vtr5fQ_iQno/mqdefault.jpg,320,taylor swift bejeweled,taylor swift
cbDTI7DnInfaRrcIQ71hY0ktR5s,youtube#video,hLQf1pLAKUw,youtube#searchResult,UCvgI4l9ZrVq4QZ2boB0Zw7A,The Showbiz Live,"S1E28: Katy Perry, Taylor Swift, Paulina Rubio, Camile Vazquez, Ye, Wanda Nara, Alex Basteri Ven a platicar con nosotros en ...",none,2022-10-28T07:38:19Z,2022-10-28T07:38:19Z,90,https://i.ytimg.com/vi/hLQf1pLAKUw/default.jpg,120,360,https://i.ytimg.com/vi/hLQf1pLAKUw/hqdefault.jpg,480,180,https://i.ytimg.com/vi/hLQf1pLAKUw/mqdefault.jpg,320,"S1E28: Katy Perry, Taylor Swift, Paulina Rubio, Camile Vazquez, Ye, Wanda Nara, Alex Basteri",taylor swift
S5Oksj_OL2dfo8EHoMbJg1nM-Ok,youtube#video,OBGXn2cQlrA,youtube#searchResult,UCmaHsQal3PdiHp5N_o2NMxA,Hannah Fronz,"Happy Thursday! Lots of things to discuss tonight. For starters, Matthew Perry apparently hates Keanu Reeves (?!) We'll also do a ...",none,2022-10-28T05:40:00Z,2022-10-28T05:40:00Z,90,https://i.ytimg.com/vi/OBGXn2cQlrA/default.jpg,120,360,https://i.ytimg.com/vi/OBGXn2cQlrA/hqdefault.jpg,480,180,https://i.ytimg.com/vi/OBGXn2cQlrA/mqdefault.jpg,320,Beautiful Garbage #7 | Matthew Perry vs. Keanu Reeves &amp; Taylor Swift Midnights Tea,taylor swift
WFch5EpRAVbR5RuiuoMlNfzVgqk,youtube#video,XyHvIzhB3Eo,youtube#searchResult,UCqH5sXAAHIT6N7sdOiqgXKg,NJBZX,Powered by Restream https://restream.io I do song remake on fiverr https://www.fiverr.com/share/GKXroq == Become a Patron ...,none,2022-10-28T04:14:17Z,2022-10-28T04:14:17Z,90,https://i.ytimg.com/vi/XyHvIzhB3Eo/default.jpg,120,360,https://i.ytimg.com/vi/XyHvIzhB3Eo/hqdefault.jpg,480,180,https://i.ytimg.com/vi/XyHvIzhB3Eo/mqdefault.jpg,320,NJBZX Live Stream (Part 2) - Remaking Anti-Hero by Taylor Swift,taylor swift
